indicator,Best_MAPE,Best_RMSE,Best_MAE,Best_R2,Better,Model
gva_sector_ghi,6.563426909347933,1161.785209551566,625.5397426167473,0.9877964621003096,Multi,xgboost
gva_sector_ghij,8.987538750480011,2142.1385975399585,968.1084324034508,0.9699054416419124,Multi,xgboost
gva_sector_j,12.177157596261942,666.0391078412765,248.55445964875773,0.958013704980549,Single,xgboost
gva_sector_k,14.106498622703018,852.3647395339234,289.55645593361777,0.8827400586027642,Single,xgboost
gva_sector_klmn,8.94111600277714,5603.719445058517,1312.4221700355654,0.8211532446644043,Multi,xgboost
gva_sector_l,8.930782602887422,932.910582945449,398.8922370010126,0.9767433328749104,Multi,xgboost
gva_sector_mn,9.806495372030934,714.407771137511,344.13882997512815,0.9809499067847328,Single,xgboost
gva_sector_opq,6.61560083940312,580.3817501080624,366.8455382125105,0.995006532311056,Multi,xgboost
gva_sector_opqrstu,7.941151558274454,1275.0052164694175,612.5131456869157,0.9836277643537578,Multi,xgboost
gva_sector_rstu,10.561622879377088,831.7805703526584,215.98708452958127,0.8478039650926723,Multi,xgboost
