geo,indicator,forecast_2023,model_used
HU21,gfcf,6129.286788533901,Multi
HU22,gfcf,4848.414747320068,Multi
HU23,gfcf,4891.017478032579,Multi
HU31,gfcf,5199.473560570285,Multi
HU32,gfcf,6231.449658753227,Multi
HU33,gfcf,5597.390161439945,Multi
HUZZ,gfcf,138.16518763348358,Multi
IE04,gfcf,10089.92652658,Multi
IE05,gfcf,82460.86934263843,Multi
IE06,gfcf,68942.2958157139,Multi
ITC1,gfcf,42924.45073710814,Multi
ITC2,gfcf,1091.8693473374583,Multi
ITC3,gfcf,12566.347711206834,Multi
ITC4,gfcf,103023.57624751139,Multi
ITF1,gfcf,8752.475852842832,Multi
ITF2,gfcf,2077.7972444866878,Multi
ITF3,gfcf,23868.3518006348,Multi
ITF4,gfcf,17731.47183199263,Multi
ITF5,gfcf,3904.7882611931104,Multi
ITF6,gfcf,7696.091979602679,Multi
ITG1,gfcf,18319.981345550994,Multi
ITG2,gfcf,8523.556718929294,Multi
ITH1,gfcf,7948.3905284330285,Multi
ITH2,gfcf,5711.601288413621,Multi
ITH3,gfcf,44073.527414083146,Multi
ITH4,gfcf,10269.176605334222,Multi
ITH5,gfcf,45790.99285786727,Multi
ITI1,gfcf,26830.791942117117,Multi
ITI2,gfcf,5907.371546016384,Multi
ITI3,gfcf,9627.224888464996,Multi
ITI4,gfcf,49481.49900510002,Multi
ITZZ,gfcf,931.4112397417334,Multi
LT01,gfcf,7716.868675150589,Multi
LT02,gfcf,9593.558233142705,Multi
LVZZ,gfcf,135.08904990507307,Multi
MK00,gfcf,3620.770504139465,Multi
MTZZ,gfcf,137.54357367390045,Multi
NL11,gfcf,7206.2070277508055,Multi
NL12,gfcf,7503.328932791464,Multi
NL13,gfcf,4836.046360269232,Multi
NL21,gfcf,13004.255879669816,Multi
NL22,gfcf,25043.9152523717,Multi
NL23,gfcf,5518.3432992377275,Multi
NL32,gfcf,39128.76031088573,Multi
NL34,gfcf,6008.466761399501,Multi
NL41,gfcf,34010.84766905426,Multi
NL42,gfcf,12586.434647591304,Multi
NLZZ,gfcf,1339.2602312452514,Multi
NO02,gfcf,3550.494329187286,Multi
NO06,gfcf,6059.5811313134745,Multi
NO07,gfcf,5752.9498122575205,Multi
NO08,gfcf,31743.57938471284,Multi
NO09,gfcf,6961.169270875416,Multi
NO0A,gfcf,26367.77496033525,Multi
NO0B,gfcf,232.5493454499558,Multi
NOZZ,gfcf,53554.3276972052,Multi
PL21,gfcf,11405.604037061004,Multi
PL22,gfcf,18225.62832787337,Multi
PL41,gfcf,14375.78505539447,Multi
PL42,gfcf,6605.002062319456,Multi
PL43,gfcf,3847.6553547316635,Multi
PL51,gfcf,13415.327942184116,Multi
PL52,gfcf,3725.3447541936425,Multi
PL61,gfcf,6752.522609864705,Multi
PL62,gfcf,4398.307958967285,Multi
PL63,gfcf,9123.519450757512,Multi
PL71,gfcf,9537.399723666365,Multi
PL72,gfcf,3765.602892932258,Multi
PL81,gfcf,6128.017615863142,Multi
PL82,gfcf,6855.074026131874,Multi
PL84,gfcf,4325.101367780102,Multi
PL91,gfcf,26946.387862054897,Multi
PL92,gfcf,9756.011339525969,Multi
PLZZ,gfcf,138.16518763348358,Multi
PT11,gfcf,17120.639288216466,Multi
PT15,gfcf,2210.039578060076,Multi
PT20,gfcf,1212.1928184174883,Multi
PT30,gfcf,1573.1097675016579,Multi
PTZZ,gfcf,121.86509938631164,Multi
RO11,gfcf,6943.767998615327,Multi
RO12,gfcf,7561.266535898432,Multi
RO21,gfcf,5005.6872394100965,Multi
RO22,gfcf,5915.579099649002,Multi
RO31,gfcf,6659.697513900547,Multi
RO32,gfcf,28124.664371610957,Multi
RO41,gfcf,4247.213165657648,Multi
RO42,gfcf,5351.011285240676,Multi
ROZZ,gfcf,137.16871302780382,Multi
RS11,gfcf,7258.412892562546,Multi
RS12,gfcf,4096.231899549315,Multi
RS21,gfcf,2308.529422921953,Multi
RS22,gfcf,3026.967102560682,Multi
RSZZ,gfcf,136.79794152712654,Multi
SE11,gfcf,49094.22987071941,Multi
SE12,gfcf,22523.74058553106,Multi
SE21,gfcf,10087.212523655708,Multi
