indicator,Multi_MAPE,Single_MAPE,Multi_RMSE,Single_RMSE,Multi_MAE,Single_MAE,Multi_R2,Single_R2,MAPE_Improvement,Better
hotels_foreign_arrivals,55.83978928611647,49.11109325390526,33161846.180938154,33387751.662863195,19337252.088541668,19541669.125,-0.3364983249570641,-0.3547693630462576,-6.728696032211213,Single
hotels_foreign_overnights,54.83605374126464,59.43817826433229,65685698.88856218,67738845.0153993,38895574.416666664,42421479.166666664,-0.08623484980608986,-0.15520126764079434,4.602124523067641,Multi
hotels_total_arrivals,52.88973313273536,48.61651326381747,46171869.058778085,46206899.37760979,26870136.364583332,27019298.375,-0.3778696752601378,-0.3799612312243832,-4.273219868917893,Single
hotels_total_arrivals_per_km2,68.87628984677,57.741616559154366,12547.890925696363,12536.872368248438,7542.8962870381665,7413.649504099528,-0.49543841485943485,-0.4928132183964531,-11.134673287615637,Single
hotels_total_arrivals_per_person,48.97643229510177,38.88912855003587,9.348868803609003,8.421143921217906,7.5337346744537355,6.273002800305686,-0.20911895019622184,0.018945629555720656,-10.0873037450659,Single
hotels_total_overnights,51.52995846065457,62.05755160227263,90817163.04564482,91377493.73230207,53428111.5,57124361.708333336,-0.17689636037594747,-0.19146377229760825,10.527593141618063,Multi
land_area,105.60222455050845,76.81966063523835,29692.3227050819,26342.02634223758,20566.217201822918,16375.097084635418,-0.396340566718105,-0.0990093086506958,-28.7825639152701,Single
population,71.69855854228886,48.16847779233942,34623741.13783222,34568560.72264596,20107230.083333332,20019141.796875,-0.4885264383854333,-0.4837856419114901,-23.530080749949445,Single
receipts,60.22948320243713,52.27481169825511,41361.91767163479,41289.18019381296,24122.26537984212,24192.019087727862,-0.37125876926370616,-0.36644012405630577,-7.95467150418202,Single
rooms,54.19344274289467,54.3157303809323,275344.4868316842,274797.85395353416,164157.2459309896,172163.85188802084,-0.18322273429231783,-0.1785293668554715,0.12228763803763254,Multi
short_stay_total_arrivals,98.1558507590133,68.36725414427059,3350271.652190476,3399974.695140824,1994433.4192708333,1992957.78125,-0.12925237093182518,-0.16300701761407388,-29.788596614742712,Single
short_stay_total_arrivals_per_km2,151.06658445498866,79.14183789134589,966.2908241062189,960.4017864012784,566.0612045135498,558.2599856147766,-0.33362174222344154,-0.3174158210220215,-71.92474656364277,Single
short_stay_total_arrivals_per_person,219.41320385763552,123.14174270417217,0.4241652274551688,0.24670010488913607,0.40232772429784136,0.2355982144673665,0.6853912581085735,0.8935760610713269,-96.27146115346335,Single
short_stay_total_overnights,98.41775593246722,86.39874759049961,7080277.716806554,7122353.683242395,4353201.25,4258949.0,0.25928226198985993,0.2504523764233316,-12.019008341967607,Single
turnover_accommodation,53.53658453491895,51.6060668061467,25301064.726174157,25281482.031882413,14685985.213541666,14797033.442708334,-0.39961172068797746,-0.39744599667854685,-1.930517728772252,Single
turnover_catering,49.786340106573626,48.220862750210486,40616099.85934648,40567249.23941817,23515011.588541668,23480824.598958332,-0.4724382359294701,-0.4688984443387558,-1.565477356363143,Single
turnover_total,55.37904593625341,51.58770203634469,66052072.54918601,66040128.94068905,38285285.927083336,38382833.052083336,-0.4498399366392789,-0.4493156607357329,-3.791343899908728,Single
units,48.36438652367689,47.469699870724085,5693.924272014438,5678.863744357106,3397.7855784098306,3401.967732747396,-0.27634238195060146,-0.2695994162732531,-0.894686652952803,Single
