geo,indicator,forecast_year,forecast_value,model_used
PT16,arrivals_per_km2,2024,156.6063408245056,Single
PT17,arrivals_per_km2,2024,2458.7371172304465,Single
PT18,arrivals_per_km2,2024,60.55583105045932,Single
RS11,arrivals_per_km2,2024,3.3144273066570804,Single
RS12,arrivals_per_km2,2024,3.3144273066570804,Single
RS21,arrivals_per_km2,2024,3.3144273066570804,Single
RS22,arrivals_per_km2,2024,3.3144273066570804,Single
TR10,arrivals_per_km2,2024,2393.2800065064293,Single
TR21,arrivals_per_km2,2024,67.18404123548389,Single
TR22,arrivals_per_km2,2024,90.0755383490038,Single
TR33,arrivals_per_km2,2024,45.122346086684566,Single
TR51,arrivals_per_km2,2024,94.32158755711248,Single
TR52,arrivals_per_km2,2024,30.165390438795036,Single
TR63,arrivals_per_km2,2024,26.93215029642964,Single
TR72,arrivals_per_km2,2024,19.558878631345785,Single
TR81,arrivals_per_km2,2024,73.48720718046344,Single
TR82,arrivals_per_km2,2024,20.373189462792592,Single
TR90,arrivals_per_km2,2024,71.71051259174216,Single
TRA1,arrivals_per_km2,2024,20.433282632028085,Single
TRA2,arrivals_per_km2,2024,16.776965226607878,Single
TRB2,arrivals_per_km2,2024,24.497485490929428,Single
TRC1,arrivals_per_km2,2024,77.10571344835692,Single
TRC2,arrivals_per_km2,2024,32.842085393570855,Single
TRC3,arrivals_per_km2,2024,32.9256711945582,Single
UKC1,arrivals_per_km2,2024,249.96429982738846,Single
UKC2,arrivals_per_km2,2024,374.7463097339603,Single
UKD1,arrivals_per_km2,2024,418.1349134953921,Single
UKD3,arrivals_per_km2,2024,2514.2887514036174,Single
UKD4,arrivals_per_km2,2024,763.1902673514019,Single
UKD6,arrivals_per_km2,2024,680.504360888512,Single
UKD7,arrivals_per_km2,2024,2220.1700633580813,Single
UKE1,arrivals_per_km2,2024,300.98066067216996,Single
UKE2,arrivals_per_km2,2024,528.5750984165638,Single
UKE3,arrivals_per_km2,2024,964.5609786992097,Single
UKE4,arrivals_per_km2,2024,1085.0906512937331,Single
UKF1,arrivals_per_km2,2024,541.1088274709045,Single
UKF2,arrivals_per_km2,2024,419.1292182494803,Single
UKF3,arrivals_per_km2,2024,283.738320399289,Single
UKG1,arrivals_per_km2,2024,250.60516209609784,Single
UKG2,arrivals_per_km2,2024,302.7203801699874,Single
UKG3,arrivals_per_km2,2024,4703.979126719747,Single
UKH1,arrivals_per_km2,2024,378.74120770033346,Single
UKH2,arrivals_per_km2,2024,760.3806198168634,Single
UKH3,arrivals_per_km2,2024,373.8438023653432,Single
UKI1,arrivals_per_km2,2024,3.3144273066570804,Single
UKI2,arrivals_per_km2,2024,3.3144273066570804,Single
UKI3,arrivals_per_km2,2024,34269.03223193505,Single
UKI4,arrivals_per_km2,2024,23476.417505835565,Single
UKI5,arrivals_per_km2,2024,9949.74635685773,Single
UKI6,arrivals_per_km2,2024,9236.568495834626,Single
UKI7,arrivals_per_km2,2024,4596.738313348336,Single
UKJ1,arrivals_per_km2,2024,803.6786192755173,Single
UKJ2,arrivals_per_km2,2024,1006.2416998000763,Single
UKJ3,arrivals_per_km2,2024,953.4417272323197,Single
UKJ4,arrivals_per_km2,2024,758.9355205442522,Single
UKK1,arrivals_per_km2,2024,603.9992252148049,Single
UKK2,arrivals_per_km2,2024,714.762359301825,Single
UKK3,arrivals_per_km2,2024,1059.0190752143155,Single
UKK4,arrivals_per_km2,2024,601.0585616376208,Single
UKL1,arrivals_per_km2,2024,416.9864737210781,Single
UKL2,arrivals_per_km2,2024,332.0852491686335,Single
UKM2,arrivals_per_km2,2024,280.8292149743214,Single
UKM3,arrivals_per_km2,2024,278.4060058162562,Single
UKM5,arrivals_per_km2,2024,169.6903999090037,Single
UKM6,arrivals_per_km2,2024,43.05542870039637,Single
UKN0,arrivals_per_km2,2024,97.76839182344199,Single
AL01,arrivals_per_person,2024,0.7455462425399695,Single
AL02,arrivals_per_person,2024,0.7428490975378317,Single
AL03,arrivals_per_person,2024,1.0290603495178627,Single
ATZZ,arrivals_per_person,2024,0.09649080790920284,Single
DKZZ,arrivals_per_person,2024,0.09649080790920284,Single
ESZZ,arrivals_per_person,2024,0.09649080790920284,Single
FR21,arrivals_per_person,2024,0.09649080790920284,Single
FR22,arrivals_per_person,2024,0.09649080790920284,Single
FR23,arrivals_per_person,2024,0.09649080790920284,Single
FR24,arrivals_per_person,2024,0.09649080790920284,Single
FR25,arrivals_per_person,2024,0.09649080790920284,Single
FR26,arrivals_per_person,2024,0.09649080790920284,Single
FR3,arrivals_per_person,2024,0.09649080790920284,Single
FR30,arrivals_per_person,2024,0.09649080790920284,Single
FR41,arrivals_per_person,2024,0.09649080790920284,Single
FR42,arrivals_per_person,2024,0.09649080790920284,Single
FR43,arrivals_per_person,2024,0.09649080790920284,Single
FR51,arrivals_per_person,2024,0.09649080790920284,Single
FR52,arrivals_per_person,2024,0.09649080790920284,Single
