geo,indicator,forecast_2023,model_used
ITC1,gfcf,30692.421283621854,Multi
ITC2,gfcf,3268.6177252550374,Multi
ITC3,gfcf,11722.162252326078,Multi
ITC4,gfcf,95621.66485292594,Multi
ITF1,gfcf,7998.16086475887,Multi
ITF2,gfcf,2472.0988155705304,Multi
ITF3,gfcf,24594.74704331733,Multi
ITF4,gfcf,16862.107236168904,Multi
ITF5,gfcf,3911.824829259143,Multi
ITF6,gfcf,7333.8639015870995,Multi
ITG1,gfcf,19946.709519851007,Multi
ITG2,gfcf,8053.496829002318,Multi
ITH1,gfcf,9444.119853347562,Multi
ITH2,gfcf,7199.448428647922,Multi
ITH3,gfcf,38447.5790961445,Multi
ITH4,gfcf,9767.955145444768,Multi
ITH5,gfcf,38424.416915720976,Multi
ITI1,gfcf,26328.670238377585,Multi
ITI2,gfcf,6044.6174169065225,Multi
ITI3,gfcf,10084.836311833773,Multi
ITI4,gfcf,42800.51032070385,Multi
ITZZ,gfcf,228.23198657217483,Multi
LT01,gfcf,7319.278027259351,Multi
LT02,gfcf,7946.246144064698,Multi
LVZZ,gfcf,8.187980288904885,Multi
MK00,gfcf,3003.866373789825,Multi
MTZZ,gfcf,4.37022127044282,Multi
NL11,gfcf,8948.075109253827,Multi
NL12,gfcf,7604.997135525873,Multi
NL13,gfcf,5917.369865480648,Multi
NL21,gfcf,13329.712045283239,Multi
NL22,gfcf,22902.80419678619,Multi
NL23,gfcf,5854.064781441828,Multi
NL32,gfcf,47043.86721703048,Multi
NL34,gfcf,6279.653688551036,Multi
NL41,gfcf,31030.44097227243,Multi
NL42,gfcf,13998.671803284,Multi
NLZZ,gfcf,577.0257352129914,Multi
NO02,gfcf,4566.187337156316,Multi
NO06,gfcf,6909.363800727683,Multi
NO07,gfcf,6416.638787317802,Multi
NO08,gfcf,21371.361174533737,Multi
NO09,gfcf,7024.937609207219,Multi
NO0A,gfcf,14907.052328590102,Multi
NO0B,gfcf,21.016470908350684,Multi
NOZZ,gfcf,7134.772441032648,Multi
PL21,gfcf,10776.487527602292,Multi
PL22,gfcf,15365.582677671238,Multi
PL41,gfcf,13553.46712540198,Multi
PL42,gfcf,5496.184188606733,Multi
PL43,gfcf,3485.818336280591,Multi
PL51,gfcf,11447.923051200023,Multi
PL52,gfcf,3235.8579330549715,Multi
PL61,gfcf,6113.883373399909,Multi
PL62,gfcf,3988.8032216842585,Multi
PL63,gfcf,8421.033198728861,Multi
PL71,gfcf,8064.192319982793,Multi
PL72,gfcf,3650.4756407588898,Multi
PL81,gfcf,5321.180551430935,Multi
PL82,gfcf,5481.595998582034,Multi
PL84,gfcf,3586.575336536662,Multi
PL91,gfcf,24317.404405927966,Multi
PL92,gfcf,7638.24869963622,Multi
PLZZ,gfcf,0.0,Multi
PT11,gfcf,16121.691759273132,Multi
PT15,gfcf,3558.645444372279,Multi
PT20,gfcf,2010.7334904134548,Multi
PT30,gfcf,2391.636419598564,Multi
PTZZ,gfcf,29.317319470595262,Multi
RO11,gfcf,7352.69757699111,Multi
RO12,gfcf,6787.9097388425735,Multi
RO21,gfcf,6190.74979001693,Multi
RO22,gfcf,5782.689109737477,Multi
RO31,gfcf,6772.5154723644155,Multi
RO32,gfcf,17616.31840907839,Multi
RO41,gfcf,4508.635744361372,Multi
RO42,gfcf,5667.357418047231,Multi
ROZZ,gfcf,37.54341855954618,Multi
RS11,gfcf,5524.431156422316,Multi
RS12,gfcf,3219.9533457412554,Multi
RS21,gfcf,2115.1027513338004,Multi
RS22,gfcf,1867.9657070098385,Multi
RSZZ,gfcf,3.802958835831026,Multi
SE11,gfcf,43612.43099471022,Multi
SE12,gfcf,19868.97830029547,Multi
SE21,gfcf,11678.861359200579,Multi
SE22,gfcf,18206.48224552807,Multi
SE23,gfcf,26457.71916723658,Multi
SE31,gfcf,10599.858574691223,Multi
SE32,gfcf,6512.595413333165,Multi
SE33,gfcf,9104.147552485238,Multi
SEZZ,gfcf,21.2614116547637,Multi
SI03,gfcf,6207.613088078273,Multi
SI04,gfcf,8594.279990205941,Multi
SK01,gfcf,8962.410992446272,Multi
SK02,gfcf,7932.833726638428,Multi
SK03,gfcf,5541.9939593271765,Multi
SK04,gfcf,5510.573359474349,Multi
TR10,gfcf,50799.44830176111,Multi
TR21,gfcf,5160.766083624661,Multi
TR22,gfcf,3347.9582964045308,Multi
TR31,gfcf,10255.978120930575,Multi
TR32,gfcf,5238.76371340235,Multi
TR33,gfcf,5325.039288312902,Multi
TR41,gfcf,9251.725527435094,Multi
TR42,gfcf,10950.166982376266,Multi
TR51,gfcf,15924.75261359886,Multi
TR52,gfcf,4097.659303778297,Multi
TR61,gfcf,6464.274243082207,Multi
TR62,gfcf,6197.767722382945,Multi
TR63,gfcf,4684.097575601526,Multi
TR71,gfcf,2339.258774969805,Multi
TR72,gfcf,3823.156333768851,Multi
TR81,gfcf,1984.4709822955683,Multi
TR82,gfcf,1440.419227816651,Multi
TR83,gfcf,3556.733640640725,Multi
TR90,gfcf,3187.321826054438,Multi
TRA1,gfcf,1668.6288208706553,Multi
TRA2,gfcf,1146.8309053755734,Multi
TRB1,gfcf,2212.2575146410322,Multi
TRB2,gfcf,1894.0923986386988,Multi
TRC1,gfcf,4185.492910201448,Multi
TRC2,gfcf,2851.937833884427,Multi
TRC3,gfcf,2436.617125637673,Multi
AL01,gva,628.094472665447,Multi
AL02,gva,1297.2582383982178,Multi
AL03,gva,685.074714991377,Multi
CH01,gva,19024.091025013542,Multi
CH02,gva,20959.70694084018,Multi
CH03,gva,16278.673413745888,Multi
CH04,gva,19259.77954895187,Multi
CH05,gva,13073.418816447678,Multi
CH06,gva,10811.28079921042,Multi
CH07,gva,6232.529722766834,Multi
NO02,gva,4566.187337156316,Multi
NO06,gva,6909.363800727683,Multi
NO07,gva,6416.638787317802,Multi
NO08,gva,21371.361174533737,Multi
NO09,gva,7024.937609207219,Multi
NO0A,gva,14907.052328590102,Multi
NO0B,gva,21.016470908350684,Multi
NOZZ,gva,7134.772441032648,Multi
PLZZ,gva,0.0,Multi
AL01,gva_sector_a,579.9345873186861,Single
AL02,gva_sector_a,432.2090581598529,Single
AL03,gva_sector_a,1120.5881858875325,Single
BEZZ,gva_sector_a,0.0,Single
CH01,gva_sector_a,719.011325648854,Single
CH02,gva_sector_a,942.715530616146,Single
CH03,gva_sector_a,288.5800980531776,Single
CH04,gva_sector_a,286.4246269512579,Single
CH05,gva_sector_a,747.6219038082168,Single
CH06,gva_sector_a,440.0971222914799,Single
CH07,gva_sector_a,65.83978753851052,Single
DE11,gva_sector_a,957.7542556845874,Single
DE12,gva_sector_a,386.1828668939357,Single
DE13,gva_sector_a,650.1185699854726,Single
DE14,gva_sector_a,687.3800918052607,Single
DE21,gva_sector_a,1420.576931029404,Single
DE22,gva_sector_a,1151.5675025189964,Single
DE23,gva_sector_a,636.6041955233609,Single
DE24,gva_sector_a,414.5928242228405,Single
DE25,gva_sector_a,530.1071600229874,Single
DE26,gva_sector_a,639.3702932628812,Single
DE27,gva_sector_a,986.1569993724917,Single
DE30,gva_sector_a,8.06495416156496,Single
DE40,gva_sector_a,1276.1775961397607,Single
DE50,gva_sector_a,21.349537494683325,Single
DE60,gva_sector_a,96.05785745003399,Single
DE71,gva_sector_a,406.0988526449041,Single
DE72,gva_sector_a,208.51413539673507,Single
DE73,gva_sector_a,424.37826852386183,Single
DE80,gva_sector_a,1743.232918659244,Single
DE91,gva_sector_a,749.7953073843735,Single
DE92,gva_sector_a,984.2369672266159,Single
DE93,gva_sector_a,1770.4590888592056,Single
DE94,gva_sector_a,2992.485931735838,Single
DEA1,gva_sector_a,1034.7839370138845,Single
DEA2,gva_sector_a,718.4823409511588,Single
DEA3,gva_sector_a,1342.5607536520176,Single
DEA4,gva_sector_a,666.472410947318,Single
DEA5,gva_sector_a,606.4531188379291,Single
DEB1,gva_sector_a,429.17708365627686,Single
DEB2,gva_sector_a,272.989129703986,Single
DEB3,gva_sector_a,1393.0394514026486,Single
DEC0,gva_sector_a,53.64397918057955,Single
DED2,gva_sector_a,552.9774742892643,Single
DED4,gva_sector_a,536.9706948398872,Single
DED5,gva_sector_a,325.4319033810988,Single
DEE0,gva_sector_a,1729.0107145023092,Single
DEF0,gva_sector_a,1634.2172473936093,Single
DEG0,gva_sector_a,1137.0204429703601,Single
FIZZ,gva_sector_a,0.0,Single
FR10,gva_sector_a,599.0246678479679,Single
FRB0,gva_sector_a,2651.5526984027265,Single
FRC1,gva_sector_a,2368.049790975401,Single
FRC2,gva_sector_a,749.4536591745875,Single
FRD1,gva_sector_a,1412.615471903165,Single
FRD2,gva_sector_a,1124.9474134402749,Single
FRE1,gva_sector_a,1806.2656633895492,Single
FRE2,gva_sector_a,1811.4300826961644,Single
FRF1,gva_sector_a,971.0634616022276,Single
FRF2,gva_sector_a,3290.166294979402,Single
FRF3,gva_sector_a,975.2959397988636,Single
FRG0,gva_sector_a,3051.0024297149407,Single
FRH0,gva_sector_a,3518.4199069016768,Single
FRI1,gva_sector_a,3265.3569667211204,Single
FRI2,gva_sector_a,506.587591953103,Single
FRI3,gva_sector_a,2623.0808137200984,Single
FRJ1,gva_sector_a,1577.266168040478,Single
FRJ2,gva_sector_a,1730.8857653564924,Single
FRK1,gva_sector_a,762.0027484628628,Single
FRK2,gva_sector_a,1846.1185180712864,Single
FRL0,gva_sector_a,2061.982140093987,Single
FRM0,gva_sector_a,116.93035362882316,Single
FRY1,gva_sector_a,147.07271035312064,Single
FRY2,gva_sector_a,198.68922218744353,Single
FRY3,gva_sector_a,201.08184852541854,Single
FRY4,gva_sector_a,427.03830995864666,Single
FRY5,gva_sector_a,119.2903218262524,Single
FRZZ,gva_sector_a,0.0,Single
IE04,gva_sector_a,792.9149068719474,Single
IE05,gva_sector_a,2771.7770794464313,Single
IE06,gva_sector_a,1129.1748983010984,Single
LVZZ,gva_sector_a,0.0,Single
NL11,gva_sector_a,624.2778071888864,Single
NL12,gva_sector_a,815.1324689798353,Single
NL13,gva_sector_a,673.7582995185523,Single
NL21,gva_sector_a,1067.4478738886335,Single
NL22,gva_sector_a,2017.8600603806478,Single
NL23,gva_sector_a,654.7647180480949,Single
NL32,gva_sector_a,1468.515768051192,Single
NL34,gva_sector_a,747.2642307008139,Single
NL41,gva_sector_a,3114.778257432807,Single
NL42,gva_sector_a,1318.3885915131461,Single
NLZZ,gva_sector_a,0.0,Single
NO02,gva_sector_a,0.0,Single
NO06,gva_sector_a,830.9970819763993,Single
NO07,gva_sector_a,1965.6273907950565,Single
NO08,gva_sector_a,0.0,Single
NO09,gva_sector_a,0.0,Single
NO0A,gva_sector_a,1898.6446392305456,Single
NO0B,gva_sector_a,0.0,Single
NOZZ,gva_sector_a,0.0,Single
PL21,gva_sector_a,503.92020906793823,Single
PL22,gva_sector_a,462.1441796465164,Single
PL41,gva_sector_a,2092.8527545222246,Single
PL42,gva_sector_a,641.430057941815,Single
PL43,gva_sector_a,368.45968853402917,Single
PL51,gva_sector_a,562.879687717272,Single
PL52,gva_sector_a,323.14764413860615,Single
PL61,gva_sector_a,1010.1551151494982,Single
PL62,gva_sector_a,883.949072394379,Single
PL63,gva_sector_a,729.4071002922288,Single
PL71,gva_sector_a,1190.6015646858687,Single
PL72,gva_sector_a,562.2758733434339,Single
PL81,gva_sector_a,1221.6088129757306,Single
PL82,gva_sector_a,312.19405011178566,Single
PL84,gva_sector_a,935.1459124318656,Single
PL91,gva_sector_a,573.9685574519042,Single
PL92,gva_sector_a,2914.915390298174,Single
PLZZ,gva_sector_a,0.0,Single
PTZZ,gva_sector_a,0.0,Single
ROZZ,gva_sector_a,0.0,Single
RS11,gva_sector_a,226.84918024126318,Single
RS12,gva_sector_a,1144.386243122268,Single
RS21,gva_sector_a,915.7435839276126,Single
RS22,gva_sector_a,471.52811840368236,Single
RSZZ,gva_sector_a,0.0,Single
SEZZ,gva_sector_a,0.0,Single
AL01,gva_sector_bde,393.4706312250377,Single
AL02,gva_sector_bde,596.3599815001925,Single
AL03,gva_sector_bde,351.3732806985169,Single
BEZZ,gva_sector_bde,0.0,Single
CH01,gva_sector_bde,17075.37839928687,Single
CH02,gva_sector_bde,28325.448278956726,Single
CH03,gva_sector_bde,26552.31431917569,Single
CH04,gva_sector_bde,14791.274736255733,Single
CH05,gva_sector_bde,21085.849153763982,Single
CH06,gva_sector_bde,13318.178574283787,Single
CH07,gva_sector_bde,5219.455871769379,Single
DE11,gva_sector_bde,83310.12473249745,Single
DE12,gva_sector_bde,34414.19764553289,Single
DE13,gva_sector_bde,28037.2647680798,Single
DE14,gva_sector_bde,30434.765057922054,Single
DE21,gva_sector_bde,70570.84485496265,Single
DE22,gva_sector_bde,17179.87109929251,Single
DE23,gva_sector_bde,16325.641340984708,Single
DE24,gva_sector_bde,11070.448269695682,Single
DE25,gva_sector_bde,22061.784466322395,Single
DE26,gva_sector_bde,15263.342617500211,Single
DE27,gva_sector_bde,22414.145312989076,Single
DE30,gva_sector_bde,13790.903280202192,Single
DE40,gva_sector_bde,14877.201000216091,Single
DE50,gva_sector_bde,7576.994635440067,Single
DE60,gva_sector_bde,17442.039687588232,Single
DE71,gva_sector_bde,33999.06447716642,Single
DE72,gva_sector_bde,9969.644640784092,Single
DE73,gva_sector_bde,11409.428345672459,Single
DE80,gva_sector_bde,7523.040621205508,Single
DE91,gva_sector_bde,29429.804750243416,Single
DE92,gva_sector_bde,17147.325367076235,Single
DE93,gva_sector_bde,9980.26603516887,Single
DE94,gva_sector_bde,23863.26208805328,Single
DEA1,gva_sector_bde,39653.88877920691,Single
DEA2,gva_sector_bde,35499.4646796613,Single
DEA3,gva_sector_bde,19842.85180411901,Single
DEA4,gva_sector_bde,23716.48740009282,Single
DEA5,gva_sector_bde,34062.26678949199,Single
DEB1,gva_sector_bde,12502.213375308578,Single
DEB2,gva_sector_bde,4398.93064842168,Single
DEB3,gva_sector_bde,23740.976892633254,Single
DEC0,gva_sector_bde,9183.849912341178,Single
DED2,gva_sector_bde,12407.823981435808,Single
DED4,gva_sector_bde,11293.718293161251,Single
DED5,gva_sector_bde,6570.974195348367,Single
DEE0,gva_sector_bde,16134.863464169082,Single
DEF0,gva_sector_bde,18901.783292171996,Single
DEG0,gva_sector_bde,17165.33667245898,Single
FIZZ,gva_sector_bde,0.0,Single
FR10,gva_sector_bde,53865.055932236544,Single
FRB0,gva_sector_bde,11943.252468990007,Single
FRC1,gva_sector_bde,6380.603103626101,Single
FRC2,gva_sector_bde,6037.098297589103,Single
FRD1,gva_sector_bde,6522.407499007529,Single
FRD2,gva_sector_bde,11018.070563644873,Single
FRE1,gva_sector_bde,15764.651024648554,Single
FRE2,gva_sector_bde,8023.862357380108,Single
FRF1,gva_sector_bde,11669.68921196758,Single
FRF2,gva_sector_bde,6437.096970880428,Single
FRF3,gva_sector_bde,9181.848357276895,Single
FRG0,gva_sector_bde,19239.9858021551,Single
FRH0,gva_sector_bde,14438.613534239787,Single
FRI1,gva_sector_bde,12711.891905546856,Single
FRI2,gva_sector_bde,2330.985514671295,Single
FRI3,gva_sector_bde,7436.038660311424,Single
FRJ1,gva_sector_bde,6214.714670081671,Single
FRJ2,gva_sector_bde,15610.145291896208,Single
FRK1,gva_sector_bde,6445.99818330468,Single
FRK2,gva_sector_bde,37896.06295270723,Single
FRL0,gva_sector_bde,16787.51356303369,Single
FRM0,gva_sector_bde,561.2491248664113,Single
FRY1,gva_sector_bde,1011.2861322172763,Single
FRY2,gva_sector_bde,788.7959012959832,Single
FRY3,gva_sector_bde,481.47003584590624,Single
FRY4,gva_sector_bde,1294.4321869115643,Single
FRY5,gva_sector_bde,179.91971239214791,Single
FRZZ,gva_sector_bde,0.0,Single
IE04,gva_sector_bde,10516.028684006817,Single
IE05,gva_sector_bde,117480.26341311201,Single
IE06,gva_sector_bde,47098.99967522945,Single
LVZZ,gva_sector_bde,0.0,Single
NL11,gva_sector_bde,5706.137105746531,Single
NL12,gva_sector_bde,3994.780263069418,Single
NL13,gva_sector_bde,2613.2901335090523,Single
NL21,gva_sector_bde,8346.83361874278,Single
NL22,gva_sector_bde,14321.683739265138,Single
NL23,gva_sector_bde,2142.5423253018826,Single
NL32,gva_sector_bde,12910.028874432131,Single
NL34,gva_sector_bde,3299.070070248112,Single
NL41,gva_sector_bde,27736.78744569822,Single
NL42,gva_sector_bde,8904.932301826084,Single
NLZZ,gva_sector_bde,3037.7016918879467,Single
NO02,gva_sector_bde,0.0,Single
NO06,gva_sector_bde,2443.3965118955084,Single
NO07,gva_sector_bde,0.0,Single
NO08,gva_sector_bde,0.0,Single
NO09,gva_sector_bde,0.0,Single
NO0A,gva_sector_bde,12974.16284928488,Single
NO0B,gva_sector_bde,0.0,Single
NOZZ,gva_sector_bde,36534.58934527754,Single
PL21,gva_sector_bde,9874.959437868347,Single
PL22,gva_sector_bde,21407.030714817873,Single
PL41,gva_sector_bde,15563.481305992014,Single
PL42,gva_sector_bde,4600.48125467225,Single
PL43,gva_sector_bde,3948.616359961721,Single
PL51,gva_sector_bde,14716.213923243547,Single
PL52,gva_sector_bde,3537.499981523094,Single
PL61,gva_sector_bde,6902.284406452172,Single
PL62,gva_sector_bde,3742.5538059770984,Single
PL63,gva_sector_bde,8963.118668425235,Single
PL71,gva_sector_bde,9673.631070142383,Single
PL72,gva_sector_bde,3227.7291837365146,Single
PL81,gva_sector_bde,4348.674218962148,Single
PL82,gva_sector_bde,6636.054060501535,Single
PL84,gva_sector_bde,2854.590345365631,Single
PL91,gva_sector_bde,12795.819314730306,Single
PL92,gva_sector_bde,10631.832582692874,Single
PLZZ,gva_sector_bde,0.0,Single
PTZZ,gva_sector_bde,0.0,Single
RS11,gva_sector_bde,2177.4507331389914,Single
RS12,gva_sector_bde,3551.2234627398657,Single
RS21,gva_sector_bde,2628.4183512068703,Single
RS22,gva_sector_bde,2900.4961658579405,Single
RSZZ,gva_sector_bde,0.0,Single
SEZZ,gva_sector_bde,0.0,Single
AL01,gva_sector_c,218.38214794279034,Single
AL02,gva_sector_c,351.5480094568858,Single
AL03,gva_sector_c,132.24916066737427,Single
BEZZ,gva_sector_c,0.0,Single
CH01,gva_sector_c,0.0,Single
CH02,gva_sector_c,0.0,Single
CH03,gva_sector_c,0.0,Single
CH04,gva_sector_c,0.0,Single
CH05,gva_sector_c,0.0,Single
CH06,gva_sector_c,0.0,Single
CH07,gva_sector_c,0.0,Single
DE11,gva_sector_c,79380.79874029232,Single
DE12,gva_sector_c,31299.78478009615,Single
DE13,gva_sector_c,26372.33720765082,Single
DE14,gva_sector_c,29025.34796090377,Single
DE21,gva_sector_c,66768.58969150035,Single
DE22,gva_sector_c,15242.817817754722,Single
DE23,gva_sector_c,15302.236211225896,Single
DE24,gva_sector_c,10152.795395628349,Single
DE25,gva_sector_c,20192.819457174755,Single
DE26,gva_sector_c,14108.88177592699,Single
DE27,gva_sector_c,20864.886070935132,Single
DE30,gva_sector_c,10461.100733099993,Single
DE40,gva_sector_c,10389.105394536526,Single
DE50,gva_sector_c,6799.729317634568,Single
DE60,gva_sector_c,14943.93145486841,Single
DE71,gva_sector_c,30837.67272271183,Single
DE72,gva_sector_c,9107.840992744712,Single
DE73,gva_sector_c,10475.481391404965,Single
DE80,gva_sector_c,5299.590168655945,Single
DE91,gva_sector_c,27758.1241633317,Single
DE92,gva_sector_c,14812.399350858042,Single
DE93,gva_sector_c,8333.598460876243,Single
DE94,gva_sector_c,19937.5891573095,Single
DEA1,gva_sector_c,32586.431571985566,Single
DEA2,gva_sector_c,28886.650887967193,Single
