geo,indicator,forecast_year,forecast_value,model_used
NLZZ,gfcf,2023,865.92346,Single
NO02,gfcf,2023,4486.01,Single
NO06,gfcf,2023,9276.0205,Single
NO07,gfcf,2023,9711.511,Single
NO08,gfcf,2023,26806.422,Single
NO09,gfcf,2023,10186.358,Single
NO0A,gfcf,2023,26765.684,Single
NO0B,gfcf,2023,705.0987,Single
NOZZ,gfcf,2023,18782.975,Single
PL21,gfcf,2023,9962.052,Single
PL22,gfcf,2023,12715.304,Single
PL41,gfcf,2023,11226.886,Single
PL42,gfcf,2023,4567.618,Single
PL43,gfcf,2023,2467.9917,Single
PL51,gfcf,2023,10995.188,Single
PL52,gfcf,2023,3988.1504,Single
PL61,gfcf,2023,5776.3164,Single
PL62,gfcf,2023,4175.162,Single
PL63,gfcf,2023,9331.849,Single
PL71,gfcf,2023,9339.2295,Single
PL72,gfcf,2023,2476.9734,Single
PL81,gfcf,2023,4567.618,Single
PL82,gfcf,2023,6748.0938,Single
PL84,gfcf,2023,3554.0251,Single
PL91,gfcf,2023,23244.768,Single
PL92,gfcf,2023,6005.7324,Single
PLZZ,gfcf,2023,705.0987,Single
PT11,gfcf,2023,14609.919,Single
PT15,gfcf,2023,2189.1387,Single
PT20,gfcf,2023,705.0987,Single
PT30,gfcf,2023,724.6331,Single
PTZZ,gfcf,2023,705.0987,Single
RO11,gfcf,2023,6186.243,Single
RO12,gfcf,2023,6352.828,Single
RO21,gfcf,2023,5226.702,Single
RO22,gfcf,2023,6021.7676,Single
RO31,gfcf,2023,8439.001,Single
RO32,gfcf,2023,25086.844,Single
RO41,gfcf,2023,2782.7986,Single
RO42,gfcf,2023,5970.26,Single
ROZZ,gfcf,2023,705.0987,Single
RS11,gfcf,2023,5470.584,Single
RS12,gfcf,2023,2555.8215,Single
RS21,gfcf,2023,976.0754,Single
RS22,gfcf,2023,823.7778,Single
RSZZ,gfcf,2023,705.0987,Single
SE11,gfcf,2023,29425.684,Single
SE12,gfcf,2023,22998.615,Single
SE21,gfcf,2023,9938.343,Single
SE22,gfcf,2023,18518.4,Single
SE23,gfcf,2023,26779.387,Single
SE31,gfcf,2023,9888.429,Single
SE32,gfcf,2023,4567.618,Single
SE33,gfcf,2023,10712.144,Single
SEZZ,gfcf,2023,705.0987,Single
SI03,gfcf,2023,6269.452,Single
SI04,gfcf,2023,8296.911,Single
SK01,gfcf,2023,9324.214,Single
SK02,gfcf,2023,8882.866,Single
SK03,gfcf,2023,4783.409,Single
SK04,gfcf,2023,4783.409,Single
TR10,gfcf,2023,705.0987,Single
TR21,gfcf,2023,705.0987,Single
TR22,gfcf,2023,705.0987,Single
TR31,gfcf,2023,705.0987,Single
TR32,gfcf,2023,705.0987,Single
TR33,gfcf,2023,705.0987,Single
TR41,gfcf,2023,705.0987,Single
TR42,gfcf,2023,705.0987,Single
TR51,gfcf,2023,705.0987,Single
TR52,gfcf,2023,705.0987,Single
TR61,gfcf,2023,705.0987,Single
TR62,gfcf,2023,705.0987,Single
TR63,gfcf,2023,705.0987,Single
TR71,gfcf,2023,705.0987,Single
TR72,gfcf,2023,705.0987,Single
TR81,gfcf,2023,705.0987,Single
TR82,gfcf,2023,705.0987,Single
TR83,gfcf,2023,705.0987,Single
TR90,gfcf,2023,705.0987,Single
TRA1,gfcf,2023,705.0987,Single
TRA2,gfcf,2023,705.0987,Single
TRB1,gfcf,2023,705.0987,Single
TRB2,gfcf,2023,705.0987,Single
TRC1,gfcf,2023,705.0987,Single
TRC2,gfcf,2023,705.0987,Single
TRC3,gfcf,2023,705.0987,Single
AL01,gva,2023,3561.0679,Single
AL02,gva,2023,7025.6587,Single
