geo,indicator,forecast_year,forecast_value,model_used
HUZZ,arrivals_per_person,2024,0.32196268,Single
IE01,arrivals_per_person,2024,0.32196268,Single
IE02,arrivals_per_person,2024,0.32196268,Single
IS00,arrivals_per_person,2024,15.669442,Single
ITZZ,arrivals_per_person,2024,0.32196268,Single
LT00,arrivals_per_person,2024,0.32196268,Single
MTZZ,arrivals_per_person,2024,0.32196268,Single
NL31,arrivals_per_person,2024,1.5501037,Single
NL33,arrivals_per_person,2024,1.7137552,Single
NLZZ,arrivals_per_person,2024,0.32196268,Single
NO0B,arrivals_per_person,2024,0.32196268,Single
NOZZ,arrivals_per_person,2024,0.32196268,Single
PL11,arrivals_per_person,2024,0.32196268,Single
PL12,arrivals_per_person,2024,0.32196268,Single
PL31,arrivals_per_person,2024,0.32196268,Single
PL32,arrivals_per_person,2024,0.32196268,Single
PL33,arrivals_per_person,2024,0.32196268,Single
PL34,arrivals_per_person,2024,0.32196268,Single
PLZZ,arrivals_per_person,2024,0.32196268,Single
PT16,arrivals_per_person,2024,2.0745678,Single
PT17,arrivals_per_person,2024,2.835966,Single
PT18,arrivals_per_person,2024,2.6518624,Single
TR10,arrivals_per_person,2024,0.8341764,Single
TR21,arrivals_per_person,2024,0.63892025,Single
TR22,arrivals_per_person,2024,1.3188897,Single
TR33,arrivals_per_person,2024,0.6403729,Single
TR51,arrivals_per_person,2024,0.39461023,Single
TR52,arrivals_per_person,2024,0.4829372,Single
TR63,arrivals_per_person,2024,0.30482984,Single
TR72,arrivals_per_person,2024,0.35797292,Single
TR81,arrivals_per_person,2024,0.65619564,Single
TR82,arrivals_per_person,2024,0.6191792,Single
TR90,arrivals_per_person,2024,0.849361,Single
TRA1,arrivals_per_person,2024,0.70871544,Single
TRA2,arrivals_per_person,2024,0.3079963,Single
TRB2,arrivals_per_person,2024,0.302229,Single
TRC1,arrivals_per_person,2024,0.35993117,Single
TRC2,arrivals_per_person,2024,0.34417105,Single
TRC3,arrivals_per_person,2024,0.3305928,Single
UKC1,arrivals_per_person,2024,0.6798503,Single
UKC2,arrivals_per_person,2024,1.5686402,Single
UKD1,arrivals_per_person,2024,6.4116297,Single
UKD3,arrivals_per_person,2024,1.3716859,Single
UKD4,arrivals_per_person,2024,1.6558455,Single
UKD6,arrivals_per_person,2024,1.7066454,Single
UKD7,arrivals_per_person,2024,1.3396593,Single
UKE1,arrivals_per_person,2024,1.3399378,Single
UKE2,arrivals_per_person,2024,6.291776,Single
UKE3,arrivals_per_person,2024,1.0561838,Single
UKE4,arrivals_per_person,2024,0.98966414,Single
UKF1,arrivals_per_person,2024,1.3292857,Single
UKF2,arrivals_per_person,2024,1.2766079,Single
UKF3,arrivals_per_person,2024,2.389611,Single
UKG1,arrivals_per_person,2024,1.2290218,Single
UKG2,arrivals_per_person,2024,1.3460503,Single
UKG3,arrivals_per_person,2024,1.5026985,Single
UKH1,arrivals_per_person,2024,2.113023,Single
UKH2,arrivals_per_person,2024,1.2697628,Single
UKH3,arrivals_per_person,2024,0.9089027,Single
UKI1,arrivals_per_person,2024,0.32196268,Single
UKI2,arrivals_per_person,2024,0.32196268,Single
UKI3,arrivals_per_person,2024,5.0509896,Single
UKI4,arrivals_per_person,2024,2.851775,Single
UKI5,arrivals_per_person,2024,2.522543,Single
UKI6,arrivals_per_person,2024,2.5310655,Single
UKI7,arrivals_per_person,2024,1.1154377,Single
UKJ1,arrivals_per_person,2024,1.8648516,Single
UKJ2,arrivals_per_person,2024,1.8695122,Single
UKJ3,arrivals_per_person,2024,1.8771335,Single
UKJ4,arrivals_per_person,2024,1.6897297,Single
UKK1,arrivals_per_person,2024,2.0246935,Single
UKK2,arrivals_per_person,2024,3.1574738,Single
UKK3,arrivals_per_person,2024,6.9864006,Single
UKK4,arrivals_per_person,2024,3.689509,Single
UKL1,arrivals_per_person,2024,3.053391,Single
UKL2,arrivals_per_person,2024,2.250452,Single
UKM2,arrivals_per_person,2024,0.32196268,Single
UKM3,arrivals_per_person,2024,0.32196268,Single
UKM5,arrivals_per_person,2024,2.4022286,Single
UKM6,arrivals_per_person,2024,4.0012207,Single
UKN0,arrivals_per_person,2024,0.8016007,Single
ATZZ,bed_places,2024,1593.3741,Single
DKZZ,bed_places,2024,1593.3741,Single
ES64,bed_places,2024,1593.3741,Single
ESZZ,bed_places,2024,1593.3741,Single
FR21,bed_places,2024,47761.516,Single
FR22,bed_places,2024,60582.582,Single
FR23,bed_places,2024,55465.082,Single
FR24,bed_places,2024,125246.13,Single
FR25,bed_places,2024,117885.31,Single
FR26,bed_places,2024,89530.8,Single
FR3,bed_places,2024,91630.62,Single
FR30,bed_places,2024,91630.62,Single
FR41,bed_places,2024,76239.27,Single
FR42,bed_places,2024,83756.94,Single
FR43,bed_places,2024,66537.91,Single
FR51,bed_places,2024,401928.72,Single
FR52,bed_places,2024,478360.4,Single
FR53,bed_places,2024,228381.94,Single
FR61,bed_places,2024,500610.78,Single
FR62,bed_places,2024,309637.03,Single
FR63,bed_places,2024,61877.285,Single
FR71,bed_places,2024,631050.3,Single
FR72,bed_places,2024,128230.41,Single
FR81,bed_places,2024,500293.6,Single
FR82,bed_places,2024,725178.25,Single
FR83,bed_places,2024,149182.73,Single
FRA1,bed_places,2024,6698.9404,Single
FRA2,bed_places,2024,10169.99,Single
FRA3,bed_places,2024,2249.0425,Single
FRA4,bed_places,2024,4832.238,Single
FRA5,bed_places,2024,1593.3741,Single
FRZZ,bed_places,2024,1593.3741,Single
HR04,bed_places,2024,77260.625,Single
HU10,bed_places,2024,75983.98,Single
HUZZ,bed_places,2024,1593.3741,Single
IE01,bed_places,2024,56788.184,Single
IE02,bed_places,2024,153951.72,Single
IS00,bed_places,2024,45936.965,Single
ITZZ,bed_places,2024,1593.3741,Single
LT00,bed_places,2024,78470.414,Single
MTZZ,bed_places,2024,1593.3741,Single
NL31,bed_places,2024,45479.89,Single
NL33,bed_places,2024,109685.6,Single
NLZZ,bed_places,2024,1593.3741,Single
NOZZ,bed_places,2024,1593.3741,Single
PL11,bed_places,2024,24526.785,Single
PL12,bed_places,2024,54803.562,Single
PL31,bed_places,2024,25575.61,Single
PL32,bed_places,2024,31389.348,Single
PL33,bed_places,2024,11914.104,Single
PL34,bed_places,2024,15120.232,Single
PLZZ,bed_places,2024,1593.3741,Single
PT16,bed_places,2024,135342.12,Single
PT17,bed_places,2024,150501.6,Single
