indicator,Best_MAPE,Best_RMSE,Best_MAE,Best_R2,Better,Model
short_stay_total_arrivals_per_km2,16.077810454271706,153.23581993385685,89.28133947751634,0.9664619699704646,Single,linear
short_stay_total_arrivals_per_person,19.118529047211982,0.0902344551678236,0.0746765039432322,0.9857621156351228,Single,linear
short_stay_total_overnights,10.997011330966869,479916.3858986934,297688.3067896972,0.9965968325706648,Single,linear
turnover_accommodation,17.485938189536785,7490001.384661689,4378322.395822538,0.8773425952625437,Single,linear
turnover_catering,17.001015372784202,17672361.005213663,10214076.718820652,0.7212404213427737,Single,linear
turnover_total,13.256585221777398,18997398.72810307,11028416.950217308,0.8800679005930558,Single,linear
units,29.77875405920976,5807.742178602478,3355.8893426466566,-0.3278789126073658,Single,linear
STR_accommodation_beds,36.58739004360831,1109313.5728911718,644687.298828125,-0.3894255219135825,Single,xgboost
employment_accommodation_catering,43.94496802865777,936004.3980904116,542602.6784557292,-0.4568069626761437,Single,xgboost
employment_other,63.00045125311274,13569208.353044515,7867654.587166667,-0.4853316672043708,Single,xgboost
employment_total,57.31608724648945,14520283.53751896,8418404.76725,-0.4865553482958893,Single,xgboost
employment_total_greece,31.250001268844844,37030838.46023346,21379764.609333333,-0.4999999960710513,Single,xgboost
expenditure_per_overnight_stay,45.48737823732952,861.5460887143224,510.4819989624023,-0.4841732212766918,Multi,xgboost
guest_beds,49.45102040548284,529115.492665881,312943.19921875,-0.1724575542490982,Multi,xgboost
guest_beds_per_km2,52.41794122369482,155.13852259461706,97.62569277890525,-0.509985033141048,Single,xgboost
guest_beds_per_person,18.385917382587568,0.130864789169464,0.0840087490181128,0.5596854773392228,Single,xgboost
hotels_avg_duration_of_stay_domestic,36.93468260322213,16.133041434214014,9.509028338750204,-0.4180615311876565,Single,xgboost
hotels_avg_duration_of_stay_foreign,34.43636415607177,17.662382959721267,10.428241853078209,-0.3676726687801122,Single,xgboost
hotels_avg_duration_of_stay_total,30.586951810422665,17.085587118598887,9.984043802261352,-0.3675854253647044,Single,xgboost
hotels_domestic_arrivals,55.52687125308453,12751916.191584809,7449423.494791667,-0.4325752857186733,Single,xgboost
hotels_domestic_overnights,46.978437455368784,24811133.093674,14477935.166666666,-0.4301118187297823,Single,xgboost
hotels_foreign_arrivals,49.11109325390526,33387751.662863195,19541669.125,-0.3547693630462576,Single,xgboost
hotels_foreign_overnights,54.83605374126464,65685698.88856218,38895574.41666666,-0.0862348498060898,Multi,xgboost
hotels_total_arrivals,48.61651326381747,46206899.37760979,27019298.375,-0.3799612312243832,Single,xgboost
hotels_total_arrivals_per_km2,57.741616559154366,12536.872368248438,7413.649504099528,-0.4928132183964531,Single,xgboost
hotels_total_arrivals_per_person,38.88912855003587,8.421143921217906,6.273002800305686,0.0189456295557206,Single,xgboost
hotels_total_overnights,51.52995846065457,90817163.04564482,53428111.5,-0.1768963603759474,Multi,xgboost
land_area,76.81966063523835,26342.02634223758,16375.097084635418,-0.0990093086506958,Single,xgboost
population,48.16847779233942,34568560.72264596,20019141.796875,-0.4837856419114901,Single,xgboost
receipts,52.27481169825511,41289.18019381296,24192.019087727866,-0.3664401240563057,Single,xgboost
rooms,54.19344274289467,275344.4868316842,164157.2459309896,-0.1832227342923178,Multi,xgboost
short_stay_total_arrivals,68.36725414427059,3399974.695140824,1992957.78125,-0.1630070176140738,Single,xgboost
short_stay_total_arrivals_per_km2,79.14183789134589,960.4017864012784,558.2599856147766,-0.3174158210220215,Single,xgboost
short_stay_total_arrivals_per_person,123.14174270417216,0.246700104889136,0.2355982144673665,0.8935760610713269,Single,xgboost
short_stay_total_overnights,86.39874759049961,7122353.683242395,4258949.0,0.2504523764233316,Single,xgboost
turnover_accommodation,51.6060668061467,25281482.031882413,14797033.442708334,-0.3974459966785468,Single,xgboost
turnover_catering,48.220862750210486,40567249.23941817,23480824.59895833,-0.4688984443387558,Single,xgboost
turnover_total,51.58770203634469,66040128.94068905,38382833.052083336,-0.4493156607357329,Single,xgboost
units,47.469699870724085,5678.863744357106,3401.967732747396,-0.2695994162732531,Single,xgboost
